,lat,lon,labels
0,28.4292655,77.2152751,-1
1,28.4300428,77.2261104,-1
2,28.4302171,77.22613,-1
3,28.4308358,77.2266802,-1
4,28.4431945,77.1746505,-1
5,28.4445699,77.188257,-1
6,28.4493509,77.1843709,-1
7,28.4496992,77.1840092,-1
8,28.4524063,77.1416722,-1
9,28.4530389,77.1477573,-1
10,28.4565801,77.1840356,-1
11,28.4571837,77.1838628,-1
12,28.4588686,77.1841549,-1
13,28.4644683,77.186198,-1
14,28.4717157,77.1285742,-1
15,28.4733639,77.1245222,-1
16,28.4736928,77.1217455,-1
17,28.476279,77.149459,-1
18,28.4768282,77.1304909,-1
19,28.4775402,77.1294958,-1
20,28.4787294,77.1209508,-1
21,28.4793275,77.1315132,-1
22,28.4825687,77.1884514,-1
23,28.4869358,77.1878285,-1
24,28.489358,77.1378574,-1
25,28.4899855,77.1389634,-1
26,28.4906983,77.3040256,-1
27,28.4935774,77.1844678,-1
28,28.4941138,77.3022635,-1
29,28.4942666,77.2047752,-1
30,28.4943675,77.1836992,-1
31,28.4945252,77.3035906,-1
32,28.4946609,77.150715,-1
33,28.4948019,77.2291798,-1
34,28.495939,77.3031081,-1
35,28.4959778,77.303221,-1
36,28.4963966,77.1854716,0
37,28.4965669,77.1846642,0
38,28.4974169,77.1477355,-1
39,28.4974618,77.1477339,-1
40,28.4984699,77.1848617,0
41,28.4990295,77.2950882,-1
42,28.499764,77.2370308,-1
43,28.50016,77.184306,0
44,28.500181,77.1842797,0
45,28.5006053,77.1857471,0
46,28.5008909,77.3015445,-1
47,28.5011543,77.1833198,0
48,28.5012251,77.2890164,-1
49,28.5013209,77.1828519,0
50,28.501324,77.3010313,-1
51,28.5014001,77.1671574,-1
52,28.5019105,77.2907092,-1
53,28.5022791,77.2836851,-1
54,28.5024032,77.2826168,-1
55,28.5030188,77.2808314,-1
56,28.5031493,77.2805611,-1
57,28.5040911,77.184885,0
58,28.5043431,77.1719993,1
59,28.5049584,77.1849078,0
60,28.5049584,77.1849078,0
61,28.5051676,77.2061624,-1
62,28.505296,77.229277,-1
63,28.5057002,77.1756767,1
64,28.5059915,77.2003092,2
65,28.5059944,77.1636862,3
66,28.5060518,77.1746006,1
67,28.506139,77.1759779,1
68,28.5064022,77.1653509,3
69,28.5065247,77.1749042,1
70,28.506611,77.17496,1
71,28.5068548,77.1968509,2
72,28.5068891,77.1998695,2
73,28.5069065,77.1998444,2
74,28.5069298,77.1998461,2
75,28.5069468,77.1998514,2
76,28.5069714,77.1998643,2
77,28.5069889,77.1998711,2
78,28.5071089,77.1764903,1
79,28.5072646,77.200087,2
80,28.5073616,77.1998841,2
81,28.5074564,77.1999225,2
82,28.5075171,77.1995949,2
83,28.5075512,77.1995128,2
84,28.5076121,77.1993897,2
85,28.5077115,77.1987031,2
86,28.5082288,77.1984728,2
87,28.5084236,77.2510098,-1
88,28.5084355,77.2008302,2
89,28.508436,77.1774173,1
90,28.5084497,77.166546,3
91,28.5086311,77.201264,2
92,28.508805,77.2007334,2
93,28.5088733,77.2007595,2
94,28.508963,77.2009543,2
95,28.5090199,77.2020165,2
96,28.509058,77.1963823,2
97,28.5090978,77.1795785,1
98,28.509134,77.1671189,3
99,28.5091484,77.1797401,1
100,28.5091679,77.2012764,2
101,28.5093135,77.1775058,1
102,28.5094144,77.2639663,-1
103,28.5094734,77.1781429,1
104,28.5095794,77.2016684,2
105,28.509611,77.1795078,1
106,28.509637,77.1990545,2
107,28.5096851,77.196568,2
108,28.5097146,77.2016392,2
109,28.5097244,77.1682166,3
110,28.5097683,77.2014454,2
111,28.5097958,77.1676347,3
112,28.509824,77.201705,2
113,28.5098476,77.2017278,2
114,28.5098513,77.1682149,3
115,28.5099306,77.168219,3
116,28.5099957,77.1682199,3
117,28.5100591,77.201592,2
118,28.5100632,77.2019615,2
119,28.5101013,77.201937,2
120,28.5101062,77.1682153,3
121,28.5101696,77.2020203,2
122,28.510203,77.1676261,3
123,28.5103314,77.2021151,2
124,28.5103388,77.1678232,3
125,28.5103429,77.2020841,2
126,28.5104724,77.1680214,3
127,28.5108297,77.2023835,2
128,28.5108396,77.2650253,-1
129,28.5109411,77.2021567,2
130,28.5110272,77.2025214,2
131,28.5110406,77.2025519,2
132,28.5112701,77.2023845,2
133,28.5114562,77.2026133,2
134,28.5116101,77.2509251,-1
135,28.5116353,77.2027037,2
136,28.5117081,77.243271,-1
137,28.5117155,77.1634819,3
138,28.5121822,77.249245,-1
139,28.5122445,77.2464706,-1
140,28.5122857,77.2031329,2
141,28.5123728,77.2432268,-1
142,28.5123981,77.203907,2
143,28.5128438,77.2043006,2
144,28.5129074,77.2038453,2
145,28.5129226,77.1952713,2
146,28.5129534,77.204544,2
147,28.5129853,77.2355114,-1
148,28.5130278,77.2049866,2
149,28.5130329,77.2044361,2
150,28.5130653,77.2457206,-1
151,28.5130679,77.2040027,2
152,28.5130689,77.2044535,2
153,28.5131673,77.1856979,-1
154,28.5131906,77.2042686,2
155,28.5134295,77.2426602,-1
156,28.5136572,77.2351265,-1
157,28.5136911,77.2048109,2
158,28.513712,77.2344806,-1
159,28.513727,77.204831,2
160,28.5137441,77.2342597,4
161,28.5138568,77.23383,4
162,28.5139615,77.2047134,2
163,28.5139992,77.2328778,4
164,28.514067,77.2050329,2
165,28.5141173,77.2327466,4
166,28.5141979,77.2048892,2
167,28.5142605,77.2051339,2
168,28.5142641,77.1648482,3
169,28.5143003,77.2051488,2
170,28.5143241,77.2051592,2
171,28.5143312,77.2046819,2
172,28.5143778,77.2815719,-1
173,28.5143829,77.1649328,3
174,28.5143994,77.1649101,3
175,28.5144627,77.2050016,2
176,28.5145179,77.2055555,2
177,28.5145749,77.2519809,-1
178,28.5145855,77.205049,2
179,28.5146574,77.2053158,2
180,28.5147823,77.2054258,2
181,28.5147929,77.2053929,2
182,28.5148169,77.2518253,-1
183,28.5148672,77.2054037,2
184,28.5148865,77.2293197,4
185,28.5149266,77.2055314,2
186,28.5150098,77.205466,2
187,28.515038,77.2054687,2
188,28.5151388,77.2055103,2
189,28.5151929,77.2053702,2
190,28.5152024,77.2264024,4
191,28.5152395,77.1980041,2
192,28.5152395,77.1980041,2
193,28.5152796,77.1979384,2
194,28.5152875,77.2058511,2
195,28.5153204,77.2533127,-1
196,28.5153468,77.2056028,2
197,28.5153806,77.2502919,-1
198,28.5153969,77.1970861,2
199,28.5153998,77.2056042,2
200,28.5154971,77.2054225,2
201,28.5155013,77.2056319,2
202,28.5156592,77.2053011,2
203,28.5157955,77.0502838,-1
204,28.5158174,77.1619757,3
205,28.5158486,77.197375,2
206,28.5158686,77.1972412,2
207,28.5158966,77.1965361,2
208,28.5158966,77.1965361,2
209,28.515936,77.2055735,2
210,28.5159361,77.2264962,4
211,28.5160381,77.2254354,4
212,28.5161687,77.227032,4
213,28.5162132,77.2058721,2
214,28.5162345,77.1978854,2
215,28.516241,77.1978548,2
216,28.5162553,77.2001633,2
217,28.5162966,77.2059026,2
218,28.5163944,77.2059562,2
219,28.5164119,77.2247295,4
220,28.5164274,77.2059622,2
221,28.5164647,77.2233232,4
222,28.5164951,77.2059636,2
223,28.5165099,77.2059676,2
224,28.516561,77.2272104,4
225,28.5167411,77.2032407,2
226,28.5167524,77.2271259,4
227,28.516896,77.2212815,4
228,28.5169615,77.2271789,4
229,28.5172308,77.2002019,2
230,28.5172505,77.2001485,2
231,28.5172818,77.2000632,2
232,28.5173118,77.1999817,2
233,28.5173258,77.200236,2
234,28.5174202,77.1979526,2
235,28.5174361,77.1984494,2
236,28.5175248,77.200275,2
237,28.5177312,77.1981227,2
238,28.5177997,77.1985596,2
239,28.5178234,77.2061536,2
240,28.5178715,77.1992205,2
241,28.5179821,77.1987555,2
242,28.5179925,77.203512,2
243,28.5179974,77.203501,2
244,28.5179998,77.1992482,2
245,28.5180183,77.2034517,2
246,28.5181124,77.2021351,2
247,28.5181909,77.2062308,2
248,28.51825,77.2021336,2
249,28.5182748,77.2152203,2
250,28.5182823,77.2151617,2
251,28.5185518,77.254504,-1
252,28.5188531,77.2110242,2
253,28.5189065,77.2107194,2
254,28.5189199,77.2788805,-1
255,28.5189235,77.2067649,2
256,28.518931,77.1611675,5
257,28.5189379,77.2067153,2
258,28.5189751,77.2065429,2
259,28.5190152,77.2106807,2
260,28.5190205,77.2788142,-1
261,28.5190366,77.1613391,5
262,28.5191044,77.2020718,2
263,28.5191896,77.2281724,4
264,28.5192901,77.2063916,2
265,28.5192971,77.2075862,2
266,28.5192985,77.2076212,2
267,28.519364,77.2004958,2
268,28.519371,77.1604586,5
269,28.5193951,77.206408,2
270,28.5194075,77.2005124,2
271,28.5194093,77.2009034,2
272,28.5194743,77.2064407,2
273,28.519551,77.2035198,2
274,28.5197606,77.2050158,2
275,28.5198225,77.2159343,2
276,28.5198743,77.2018367,2
277,28.5199328,77.2018409,2
278,28.5199768,77.1999114,2
279,28.5200545,77.2035767,2
280,28.520099,77.206651,2
281,28.5201781,77.2032018,2
282,28.5202093,77.2017082,2
283,28.5202538,77.2024726,2
284,28.520261,77.20258,2
285,28.5203162,77.2025018,2
286,28.5203641,77.2059863,2
287,28.5204397,77.2017878,2
288,28.5204901,77.2239646,4
289,28.5204982,77.201637,2
290,28.5208653,77.2015213,2
291,28.5208823,77.2060374,2
292,28.5209123,77.2059981,2
293,28.5209438,77.0822696,-1
294,28.520997,77.206042,2
295,28.5210402,77.2060542,2
296,28.5210571,77.2128692,2
297,28.5210571,77.2128692,2
298,28.5211611,77.2159444,2
299,28.5211642,77.2060906,2
300,28.5212087,77.206107,2
301,28.5212727,77.206085,2
302,28.521314,77.2060934,2
303,28.5214032,77.2061288,2
304,28.5214409,77.2061434,2
305,28.5215477,77.2061766,2
306,28.5215529,77.2160961,2
307,28.5215806,77.2061835,2
308,28.5215986,77.2161036,2
309,28.5216669,77.2062192,2
310,28.5216778,77.1687521,5
311,28.5216987,77.2062304,2
312,28.5217402,77.1676452,5
313,28.5217581,77.1667456,5
314,28.5217791,77.1830162,6
315,28.5220241,77.2225645,-1
316,28.5220425,77.2156177,2
317,28.5220531,77.2155672,2
318,28.5220709,77.2150996,2
319,28.5221102,77.1686236,5
320,28.5221317,77.1689977,5
321,28.5221526,77.0822103,-1
322,28.5221637,77.1692844,5
323,28.5221971,77.2150114,2
324,28.5222089,77.2149563,2
325,28.5222221,77.1683701,5
326,28.5222274,77.1818239,6
327,28.5224201,77.2079718,2
328,28.5224473,77.2079079,2
329,28.5225013,77.1822063,6
330,28.5225508,77.2145037,2
331,28.5226199,77.1639216,5
332,28.5226522,77.2140711,2
333,28.5226522,77.2140711,2
334,28.522664,77.1655706,5
335,28.5228404,77.205968,2
336,28.5229264,77.2079252,2
337,28.5229361,77.1806401,6
338,28.5229363,77.0996758,-1
339,28.5229537,77.2349052,-1
340,28.5229593,77.1773673,6
341,28.5229963,77.1788526,6
342,28.5230268,77.1788582,6
343,28.5230693,77.2070313,2
344,28.5231246,77.1799665,6
345,28.5231393,77.2350486,-1
346,28.5231511,77.1771402,6
347,28.5232464,77.2076067,2
348,28.52326,77.2075482,2
349,28.52327,77.2075049,2
350,28.5232994,77.2071199,2
351,28.5233237,77.2072733,2
352,28.523344,77.2312921,-1
353,28.5233637,77.2312756,-1
354,28.5234052,77.2076313,2
355,28.5234158,77.2226606,2
356,28.5234182,77.207561,2
357,28.5234495,77.2073909,2
358,28.523522,77.2083586,2
359,28.5235598,77.2294924,-1
360,28.5235881,77.2083757,2
361,28.5236004,77.2071797,2
362,28.5236062,77.2071431,2
363,28.5236064,77.2083784,2
364,28.5236116,77.2071093,2
365,28.5236136,77.2070765,2
366,28.5236178,77.2070562,2
367,28.5236422,77.2068967,2
368,28.5236458,77.1897201,6
369,28.5237474,77.2071344,2
370,28.5238107,77.1471593,-1
371,28.5238936,77.1896796,6
372,28.5239084,77.2069287,2
373,28.5239495,77.21629,2
374,28.5239533,77.2556753,2
375,28.5239856,77.1862016,6
376,28.5240537,77.2296458,-1
377,28.5240986,77.2550186,2
378,28.5241984,77.2071083,2
379,28.5242932,77.2554862,2
380,28.524305,77.2066746,2
381,28.5243179,77.2162014,2
382,28.524438,77.2063699,2
383,28.524544,77.2544258,2
384,28.5246843,77.2543284,2
385,28.5246895,77.2307432,-1
386,28.5247002,77.2369691,-1
387,28.5247847,77.2063237,2
388,28.5247928,77.2172399,2
389,28.5248112,77.2543763,2
390,28.5248224,77.1853354,6
391,28.5248952,77.100967,-1
392,28.5249917,77.1548125,7
393,28.525047,77.1570574,7
394,28.5251093,77.2057547,2
395,28.5251396,77.1551331,7
396,28.5251992,77.2158892,2
397,28.5252369,77.2158884,2
398,28.5252939,77.205683,2
399,28.5253273,77.2537965,2
400,28.5253842,77.2056094,2
401,28.5253991,77.2158317,2
402,28.5253991,77.2158317,2
403,28.5254465,77.1863124,6
404,28.5254781,77.2538881,2
405,28.5255404,77.2541684,2
406,28.5255648,77.2157738,2
407,28.5255648,77.2157738,2
408,28.5255802,77.2638819,2
409,28.525648,77.2055424,2
410,28.5256544,77.2614158,2
411,28.5256595,77.2613805,2
412,28.5256893,77.2508576,2
413,28.5258616,77.2501007,2
414,28.5259072,77.1903825,6
415,28.5260996,77.2590956,2
416,28.5261551,77.1904343,6
417,28.52616,77.2587656,2
418,28.5262236,77.2172229,2
419,28.5262252,77.1007834,-1
420,28.5262333,77.1568337,7
421,28.5262695,77.1561648,7
422,28.5262918,77.2573918,2
423,28.526377,77.2567995,2
424,28.5263966,77.1528343,7
425,28.5265032,77.157499,7
426,28.5265729,77.2528542,2
427,28.5265787,77.2302167,-1
428,28.5265864,77.2058877,2
429,28.5265942,77.1875219,6
430,28.526599,77.1584845,7
431,28.5266021,77.1563348,7
432,28.5266572,77.1685079,5
433,28.526681,77.2657666,2
434,28.5266976,77.2334702,-1
435,28.5267457,77.2572699,2
436,28.5267589,77.1580782,7
437,28.5267895,77.1562463,7
438,28.5268029,77.1685205,-1
439,28.5268034,77.1881657,6
440,28.5268841,77.2057017,2
441,28.5269577,77.2060927,2
442,28.5271114,77.2170398,2
443,28.5271355,77.1857585,6
444,28.527145,77.2207193,2
445,28.5273376,77.205867,2
446,28.5273531,77.2191714,2
447,28.5273626,77.2060837,2
448,28.5274543,77.2119261,2
449,28.5274778,77.257228,2
450,28.5275009,77.217259,2
451,28.5275059,77.2572345,2
